species,max_density_m3,max_density_resolution,sample_region_density_modeB_m3,sample_region_density_modeB_resolution,residual_mode_D_density_m3,residual_mode_D_resolution,resolution_floor_1m3,cells_below_resolution_modeC,cryobaffle_capture,gas_transport_stability_status,evidence_class,measured_in_this_system
CH4,2.8205172361584534e+17,RESOLVED,5.6626593847171016e+16,RESOLVED,0.0,BELOW_RESOLUTION,1000.0,120,0.9,STABLE_MODEL_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
H2,5.879054990066914e+16,RESOLVED,2.710503405383036e+16,RESOLVED,259719665281.75375,RESOLVED,1000.0,5,0.3,STABLE_MODEL_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
He3,0.0,EXACT_ZERO,0.0,EXACT_ZERO,0.0,EXACT_ZERO,1000.0,0,0.05,STABLE_MODEL_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
He4,0.0,EXACT_ZERO,0.0,EXACT_ZERO,0.0,EXACT_ZERO,1000.0,0,0.05,STABLE_MODEL_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
