x_m,n_CH4_modeC_1m3,n_H2_modeC_1m3,n_He3_modeC_1m3,n_He4_modeC_1m3
2.895833333e-01,0.000000000e+00,6.286779695e+10,0.000000000e+00,0.000000000e+00
2.937500000e-01,0.000000000e+00,5.118859386e+10,0.000000000e+00,0.000000000e+00
2.979166667e-01,0.000000000e+00,3.944083990e+10,0.000000000e+00,0.000000000e+00
3.020833333e-01,0.000000000e+00,2.762881361e+10,0.000000000e+00,0.000000000e+00
3.062500000e-01,0.000000000e+00,1.935433812e+10,0.000000000e+00,0.000000000e+00
3.104166667e-01,0.000000000e+00,1.355796230e+10,0.000000000e+00,0.000000000e+00
3.145833333e-01,0.000000000e+00,9.497527129e+09,0.000000000e+00,0.000000000e+00
3.187500000e-01,0.000000000e+00,6.653140724e+09,0.000000000e+00,0.000000000e+00
3.229166667e-01,0.000000000e+00,4.660612231e+09,0.000000000e+00,0.000000000e+00
3.270833333e-01,0.000000000e+00,3.264821371e+09,0.000000000e+00,0.000000000e+00
3.312500000e-01,0.000000000e+00,2.287053233e+09,0.000000000e+00,0.000000000e+00
3.354166667e-01,0.000000000e+00,1.602115897e+09,0.000000000e+00,0.000000000e+00
3.395833333e-01,0.000000000e+00,1.122311050e+09,0.000000000e+00,0.000000000e+00
3.437500000e-01,0.000000000e+00,7.862052329e+08,0.000000000e+00,0.000000000e+00
3.479166667e-01,0.000000000e+00,5.507639959e+08,0.000000000e+00,0.000000000e+00
3.520833333e-01,0.000000000e+00,3.858418357e+08,0.000000000e+00,0.000000000e+00
3.562500000e-01,0.000000000e+00,2.703224170e+08,0.000000000e+00,0.000000000e+00
3.604166667e-01,0.000000000e+00,1.894148744e+08,0.000000000e+00,0.000000000e+00
3.645833333e-01,0.000000000e+00,1.327600217e+08,0.000000000e+00,0.000000000e+00
3.687500000e-01,0.000000000e+00,9.310398911e+07,0.000000000e+00,0.000000000e+00
3.729166667e-01,0.000000000e+00,6.536946599e+07,0.000000000e+00,0.000000000e+00
3.770833333e-01,0.000000000e+00,4.600563457e+07,0.000000000e+00,0.000000000e+00
3.812500000e-01,0.000000000e+00,3.253356364e+07,0.000000000e+00,0.000000000e+00
3.854166667e-01,0.000000000e+00,2.322886042e+07,0.000000000e+00,0.000000000e+00
3.895833333e-01,0.000000000e+00,1.690095405e+07,0.000000000e+00,0.000000000e+00
3.937500000e-01,0.000000000e+00,1.274076019e+07,0.000000000e+00,0.000000000e+00
3.979166667e-01,0.000000000e+00,1.021723536e+07,0.000000000e+00,0.000000000e+00
4.020833333e-01,0.000000000e+00,9.009595482e+06,0.000000000e+00,0.000000000e+00
4.062500000e-01,0.000000000e+00,7.793423414e+06,0.000000000e+00,0.000000000e+00
