stage,input_amplitude_m,output_amplitude_m,attenuation_factor,dissipated_power_W,settling_time_s,evidence_class,measured_in_this_system
frame,6.1e-07,2.0199999999999998e-07,0.33114754098360655,2.5003999999999996e-11,2.2736420441699337,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
cryo_stages,2.0199999999999998e-07,5.52e-08,0.2732673267326733,1.5250399999999997e-12,2.2736420441699337,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
sample_mount,5.52e-08,1.051e-08,0.19039855072463768,6.525009999999999e-15,3.183098861837907,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
NV_region,1.051e-08,4.651e-09,0.44253092293054236,1.4872500999999996e-16,3.183098861837907,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
