path_name,source_stage,sink_stage,heat_load_W,attenuation_factor,shutter_state,baffle_state,reaches_10mK_region,row_kind,resolution,three_d_view_factors,label
300K->77K,300K,77K,1.143267547e-10,5.000000000e-07,closed,engaged,False,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
77K->4K,77K,4K,4.983236321e-13,5.000000000e-07,closed,engaged,False,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
4K->1K,4K,1K,3.614863692e-18,5.000000000e-07,closed,engaged,False,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1K->100mK,1K,100mK,1.417451845e-20,5.000000000e-07,closed,engaged,False,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
100mK->10mK,100mK,10mK,1.417451845e-24,5.000000000e-07,closed,engaged,True,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
10mK->sample,10mK,sample,0.000000000e+00,5.000000000e-07,closed,engaged,True,PATH,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
TOTAL_reaching_10mK,ALL_STAGES,10mK_region,1.417451845e-24,5.000000000e-07,closed,engaged,True,TOTAL,STAGE_CHAIN_1D (canonical),NOT_IMPLEMENTED,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
