tau_c,he3_he4_contrast,nv_contrast_10mK,thermal_recovery_time,mode_isolation_leak
1.6215065513e-05,5.2435483534e-01,1.1294140189e-01,3.0120240084e-07,5.1168347273e-04
5.5499559275e-05,5.0927258616e-01,2.5045278891e-01,2.5506806259e-07,2.7801899756e-04
1.6284296533e-05,5.2335932879e-01,1.2426171841e-01,3.0994745754e-07,5.1031038229e-04
1.6293919298e-05,5.2134157869e-01,1.3530683086e-01,2.7409769161e-07,5.1153881302e-04
1.6536169706e-05,5.1847208100e-01,1.3309711237e-01,3.2658841324e-07,5.1408676308e-04
1.6543518652e-05,5.1980719460e-01,1.1375420452e-01,2.9938679401e-07,5.1452171951e-04
3.6401448665e-05,5.1083156097e-01,2.3085648839e-01,2.5170697682e-07,2.7359658223e-04
1.6481455129e-05,5.2259054362e-01,1.1894516559e-01,2.9015892526e-07,5.1431145596e-04
1.6534357451e-05,5.1676801220e-01,1.3460181968e-01,3.0709466831e-07,5.1757821056e-04
8.3743955290e-05,5.1146871561e-01,1.9338179471e-01,2.5177012663e-07,2.7259842904e-04
1.5920012290e-05,5.2596603603e-01,1.1746920480e-01,3.2483392943e-07,5.1672548801e-04
1.6045564082e-05,5.2674282872e-01,1.1478161283e-01,3.1519103589e-07,5.0730358470e-04
1.6314967800e-05,5.1875261592e-01,1.2525439585e-01,3.0680820891e-07,5.1803532423e-04
1.6412865810e-05,5.1381886310e-01,1.3724817743e-01,2.7112482498e-07,5.1386350937e-04
1.6301111883e-05,5.2360093575e-01,1.0875054048e-01,3.2242219833e-07,5.1187727970e-04
2.3107585951e-04,5.1188288644e-01,1.6866935223e-01,2.6023522818e-07,2.7510986578e-04
4.3700578292e-05,5.1501891374e-01,1.8584331531e-01,2.5213194685e-07,2.6916779792e-04
3.1272898720e-04,5.0978496351e-01,2.3371357083e-01,2.5474708878e-07,2.7581739414e-04
8.8649125445e-05,5.1451591865e-01,2.3406710881e-01,2.5254945995e-07,2.7699681795e-04
1.5823796654e-04,5.0827135527e-01,2.2416844426e-01,2.6073000011e-07,2.7592567682e-04
9.4067911145e-05,5.1380837768e-01,1.8178509282e-01,2.5582231685e-07,2.6023929734e-04
1.6330213701e-05,5.1973038492e-01,1.2773605596e-01,2.7537238124e-07,5.1274862379e-04
2.1303095280e-04,5.1349615751e-01,2.1390708045e-01,2.5849822564e-07,2.7215988517e-04
1.7109111324e-05,5.1201708942e-01,1.1860382701e-01,3.3024800405e-07,5.0636446645e-04
9.6589935154e-05,5.5051071498e-01,3.5447774488e-02,4.1943055450e-07,6.1767790812e-04
1.5166033309e-05,5.1844414966e-01,1.2332234936e-01,3.2684995636e-07,5.1303830815e-04
1.7402176249e-05,5.2339874118e-01,1.2290071980e-01,3.1624607049e-07,5.0992912657e-04
1.6545960774e-05,5.2380236428e-01,1.1956526889e-01,3.1882863540e-07,5.1397401675e-04
1.6626224152e-05,5.2305791458e-01,1.2002774037e-01,3.2185699422e-07,5.1368390655e-04
1.6127021780e-05,5.1673655451e-01,1.2504811467e-01,3.4037659782e-07,5.1028279854e-04
1.6998827872e-05,5.1513340015e-01,1.1596567147e-01,3.2487459514e-07,5.1279406090e-04
