metric,model_1d,model_2d,note,evidence_class
NV_layer_T_K,2.941e+01,1.371e+01,2D adds radial spreading -> generally lower peak than 1D slab,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM
max_T_K,2.941e+01,1.371e+01,fidelity_comparison MODEL_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM
