tau_c_s,DeltaGamma_rads,T2s_eff_us,deltaGamma_noise,SNR,Gate,tau_c_canonical_threshold_us,note
1e-09,0.04725828996374827,9.999995274173237,259.46392948034736,0.00018213818798781342,FORECAST_THRESHOLD_NOT_MET,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
1e-08,0.4725828996374827,9.999952741933372,259.46503304377114,0.0018213741331293725,FORECAST_THRESHOLD_NOT_MET,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
1e-07,4.725828996374826,9.999527439432768,259.47606867800897,0.018212966692659576,FORECAST_THRESHOLD_NOT_MET,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
2.7728e-05,1310.377864114812,9.870657094392406,262.0808616820409,4.999899098716241,SUPERSEDED_V30,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
0.000292,13799.420669414492,8.787390956101474,290.94821377113783,47.42913005222719,THRESHOLD_SATISFIED_IF_MEASURED,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
0.001,47258.28996374826,6.7907891653921695,367.01885983680927,128.76256545715694,THRESHOLD_SATISFIED_IF_MEASURED,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
0.004,189033.15985499305,3.4598106338445613,688.7731346639597,274.4490897532161,THRESHOLD_SATISFIED_IF_MEASURED,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
0.01,472582.8996374826,1.7464719966892592,1328.109109186223,355.83138190133343,THRESHOLD_SATISFIED_IF_MEASURED,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
0.1,4725828.996374826,0.20721828327344427,10910.276939178157,433.1538990916587,THRESHOLD_SATISFIED_IF_MEASURED,292.0,Gate uses canonical 292us threshold (v3.3). 27.728us=SUPERSEDED v3.0. SNR column: v3.0-era detection chain (no pulse-fidelity factor); the canonical Mode-D state (C_eff=C*pd^2) gives SNR=5.0 at tau_c=292us.
