species,max_theta_modeB,residual_theta_mode_D,contamination_risk_status,evidence_class,measured_in_this_system
CH4,0.08153782264634712,1.686213933605035e-10,FORECAST_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
H2,1.2342800369305082e-05,7.584581482194496e-11,FORECAST_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
He3,0.0,0.0,FORECAST_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
He4,0.0,0.0,FORECAST_ONLY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
