cycle,phase,phase_source_J,phase_sink_J,phase_dU_J,phase_residual_J,phase_rel_residual,cumulative_source_J,cumulative_sink_J,cumulative_dU_J,cumulative_residual_J,cumulative_rel_residual,basis,label
1,MODE_B,1.500000000e-09,1.490872426e-09,9.114286125e-12,1.328755303e-14,8.858369e-06,1.500000000e-09,1.490872426e-09,9.114286125e-12,1.328755303e-14,8.858369e-06,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_C,2.834903691e-25,8.928341329e-12,-9.114286125e-12,1.859447960e-13,2.040147e-02,1.500000000e-09,1.499800768e-09,1.615587134e-27,1.992323490e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_D_HOLD,1.255943216e-17,1.602633470e-19,1.239913182e-17,3.699161856e-23,2.945326e-06,1.500000013e-09,1.499800768e-09,1.239913182e-17,1.992323491e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_B,1.500000000e-09,1.490872426e-09,9.114286125e-12,1.328755303e-14,8.858369e-06,3.000000013e-09,2.990673194e-09,9.114298524e-12,2.125199021e-13,7.083997e-05,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_C,2.834903691e-25,8.928341329e-12,-9.114286125e-12,1.859447960e-13,2.040147e-02,3.000000013e-09,2.999601535e-09,1.239913182e-17,3.984646981e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_D_HOLD,1.255943216e-17,1.602633470e-19,1.239913182e-17,3.699161856e-23,2.945326e-06,3.000000025e-09,2.999601536e-09,2.479826364e-17,3.984646981e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_B,1.500000000e-09,1.490872426e-09,9.114286125e-12,1.328755303e-14,8.858369e-06,4.500000025e-09,4.490473962e-09,9.114310924e-12,4.117522512e-13,9.150050e-05,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_C,2.834903691e-25,8.928341329e-12,-9.114286125e-12,1.859447960e-13,2.040147e-02,4.500000025e-09,4.499402303e-09,2.479826364e-17,5.976970472e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,MODE_D_HOLD,1.255943216e-17,1.602633470e-19,1.239913182e-17,3.699161856e-23,2.945326e-06,4.500000038e-09,4.499402303e-09,3.719739546e-17,5.976970472e-13,1.328216e-04,identical-cycle sums of the existing phase-level closures; no new physics,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
