z_m,z_left_face_m,z_right_face_m,cell_width_m,T_initial_K,T_final_K,T_peak_K,Q_laser_W_m3,Q_mw_W_m3,gradient_K_per_m,heat_flux_W_m2
3.823717857e-05,3.819013114e-05,3.828422599e-05,9.409484664e-08,1.000000000e-02,2.056952979e+01,2.056952979e+01,1.891758588e-04,0.000000000e+00,-4.387063731e+05,7.636195369e+06
3.833064081e-05,3.828422599e-05,3.837705563e-05,9.282964165e-08,1.000000000e-02,2.052840469e+01,2.052840469e+01,1.722961517e-04,0.000000000e+00,-4.413487755e+05,7.636204027e+06
3.842288407e-05,3.837705563e-05,3.846871250e-05,9.165686852e-08,1.000000000e-02,2.048757212e+01,2.048757212e+01,1.571139837e-04,0.000000000e+00,-4.439934052e+05,7.636212424e+06
3.851399789e-05,3.846871250e-05,3.855928328e-05,9.057078064e-08,1.000000000e-02,2.044699834e+01,2.044699834e+01,1.434315228e-04,0.000000000e+00,-4.466422316e+05,7.636220596e+06
3.860406664e-05,3.855928328e-05,3.864885000e-05,8.956672189e-08,1.000000000e-02,2.040665110e+01,2.040665110e+01,1.310775296e-04,0.000000000e+00,-4.492971976e+05,7.636228636e+06
3.869317041e-05,3.864885000e-05,3.873749082e-05,8.864081331e-08,1.000000000e-02,2.036649920e+01,2.036649920e+01,1.199032550e-04,0.000000000e+00,-4.519602354e+05,7.636236587e+06
3.878138552e-05,3.873749082e-05,3.882528022e-05,8.778940090e-08,1.000000000e-02,2.032651239e+01,2.032651239e+01,1.097790932e-04,0.000000000e+00,-4.546332713e+05,7.636244375e+06
3.886878410e-05,3.882528022e-05,3.891228799e-05,8.700777630e-08,1.000000000e-02,2.028666156e+01,2.028666156e+01,1.005918775e-04,0.000000000e+00,-4.573182276e+05,7.636252127e+06
3.895543523e-05,3.891228799e-05,3.899858247e-05,8.629447284e-08,1.000000000e-02,2.024691829e+01,2.024691829e+01,9.224244563e-05,0.000000000e+00,-4.600170339e+05,7.636259879e+06
3.904140527e-05,3.899858247e-05,3.908422807e-05,8.564560351e-08,1.000000000e-02,2.020725473e+01,2.020725473e+01,8.464367202e-05,0.000000000e+00,-4.627316371e+05,7.636267568e+06
3.912675749e-05,3.908422807e-05,3.916928691e-05,8.505884533e-08,1.000000000e-02,2.016764375e+01,2.016764375e+01,7.771887324e-05,0.000000000e+00,-4.654640006e+05,7.636275297e+06
3.921155295e-05,3.916928691e-05,3.925381899e-05,8.453207071e-08,1.000000000e-02,2.012805863e+01,2.012805863e+01,7.140034268e-05,0.000000000e+00,-4.682161156e+05,7.636283087e+06
3.929585066e-05,3.925381899e-05,3.933788233e-05,8.406334835e-08,1.000000000e-02,2.008847298e+01,2.008847298e+01,6.562816571e-05,0.000000000e+00,-4.709900110e+05,7.636290958e+06
3.937970781e-05,3.933788233e-05,3.942153328e-05,8.365094371e-08,1.000000000e-02,2.004886060e+01,2.004886060e+01,6.034920735e-05,0.000000000e+00,-4.737877599e+05,7.636298934e+06
3.946317992e-05,3.942153328e-05,3.950482656e-05,8.329328095e-08,1.000000000e-02,2.000919550e+01,2.000919550e+01,5.551624612e-05,0.000000000e+00,-4.766114842e+05,7.636307021e+06
3.954632094e-05,3.950482656e-05,3.958781533e-05,8.298877315e-08,1.000000000e-02,1.996945181e+01,1.996945181e+01,5.108723562e-05,0.000000000e+00,-4.794633633e+05,7.636315302e+06
3.962918383e-05,3.958781533e-05,3.967055233e-05,8.273699740e-08,1.000000000e-02,1.992960351e+01,1.992960351e+01,4.702464324e-05,0.000000000e+00,-4.823456460e+05,7.636323779e+06
3.971182053e-05,3.967055233e-05,3.975308872e-05,8.253639387e-08,1.000000000e-02,1.988962446e+01,1.988962446e+01,4.329491073e-05,0.000000000e+00,-4.852606586e+05,7.636332473e+06
3.979428208e-05,3.975308872e-05,3.983547544e-05,8.238671416e-08,1.000000000e-02,1.984948833e+01,1.984948833e+01,3.986798173e-05,0.000000000e+00,-4.882108127e+05,7.636341438e+06
3.987661899e-05,3.983547544e-05,3.991776255e-05,8.228711011e-08,1.000000000e-02,1.980916844e+01,1.980916844e+01,3.671688117e-05,0.000000000e+00,-4.911986163e+05,7.636350694e+06
3.995888127e-05,3.991776255e-05,4.000000000e-05,8.223745330e-08,1.000000000e-02,1.976863766e+01,1.976863766e+01,3.381736220e-05,0.000000000e+00,-4.927017919e+05,7.612798967e+06
